month_ago,dist_to_the_nearest_factory,population,gdp_per_capita,competition
60,787.73,251771,15675,5
59,787.73,251783,15615,5
58,787.73,251801,15626,5
57,787.73,251776,15791,3
56,787.73,251789,15568,3
55,787.73,251798,15795,7
54,787.73,251811,15880,9
53,787.73,251832,16206,9
52,787.73,251836,16062,9
51,787.73,251850,15911,10
50,787.73,251870,15922,10
49,787.73,251881,15859,10
48,787.73,251860,15720,10
47,787.73,251874,15834,13
46,787.73,251877,15883,14
45,787.73,251875,16010,16
44,787.73,251895,16235,15
43,787.73,251912,16066,18
42,787.73,251931,16070,18
41,787.73,251936,16140,16
40,787.73,251942,16145,14
39,787.73,251937,15995,15
38,787.73,251946,15772,13
37,787.73,251953,15497,12
36,787.73,251976,15345,12
35,787.73,251984,15564,10
34,787.73,251980,15423,9
33,787.73,251969,15095,7
32,787.73,251972,15141,7
31,787.73,251994,15150,7
30,787.73,251996,15033,8
29,787.73,252006,15204,5
28,787.73,252002,15116,4
27,787.73,251976,14837,5
26,787.73,251963,14779,3
25,787.73,251968,14747,4
24,787.73,251950,14788,4
23,787.73,251938,14774,6
22,787.73,251953,14679,7
21,787.73,251951,14568,8
20,787.73,251972,14556,10
19,787.73,251994,14417,11
18,787.73,251976,14735,8
17,787.73,251951,14683,8
16,787.73,251975,14618,8
15,787.73,251972,14434,7
14,787.73,251960,14531,3
13,787.73,251958,14594,4
12,787.73,251971,14656,4
11,787.73,251970,14660,4
10,787.73,251984,14613,2
9,787.73,251982,14635,3
8,787.73,251961,14461,1
7,787.73,251936,14325,2
6,787.73,251923,14127,2
5,787.73,251917,14103,0
4,787.73,251912,14083,2
3,787.73,251899,14257,3
2,787.73,251907,14113,3
1,787.73,251918,13934,6
