,population,gdp_per_capita,competition,possible_places
0,11189,9114,0,5
1,11188,9121,0,5
2,11186,9197,0,5
3,11184,9310,0,5
4,11183,9448,0,5
5,11181,9460,0,5
6,11181,9430,0,5
7,11181,9404,0,4
8,11181,9339,0,5
9,11179,9483,0,5
10,11179,9472,0,5
11,11179,9418,0,5
12,11177,9456,0,5
13,11177,9344,0,5
14,11177,9338,0,5
15,11177,9115,0,5
16,11175,9206,0,5
17,11173,9256,0,5
18,11172,9427,0,5
19,11172,9401,0,5
20,11170,9250,0,5
21,11169,9077,0,5
22,11168,9059,0,5
23,11167,9147,0,5
24,11166,9074,0,5
25,11166,8946,0,5
26,11165,8762,0,5
27,11163,8625,0,5
28,11163,8615,0,5
29,11162,8551,0,5
30,11160,8683,0,5
31,11160,8672,0,5
32,11159,8649,0,6
33,11158,8481,0,5
34,11156,8487,0,5
35,11156,8348,0,5
36,11155,8458,0,5
37,11154,8376,0,5
38,11153,8333,0,4
39,11151,8214,0,5
40,11151,8111,0,5
41,11150,8100,0,5
42,11148,7980,0,5
43,11148,8060,0,5
44,11148,7961,0,5
45,11146,7913,0,5
46,11144,7923,0,5
47,11142,7925,0,5
48,11140,7851,0,5
49,11140,7897,0,5
50,11138,7883,0,5
51,11138,7905,0,5
52,11137,8030,0,6
53,11137,8056,0,5
54,11136,7936,0,5
55,11135,7774,0,5
56,11134,7852,0,5
57,11134,7866,0,5
58,11132,7889,0,5
59,11132,7884,0,5
