,Unnamed: 0,p1,p2,p3,p4,p5,costs,prices,creating_speed_in_secs,uuid
2,2,0.4,2.0,200.0,631.0,3.5,5328.34,7993.86,102.0,a38848eb-0ae6-11eb-a695-02f48d91600b
4,4,0.4,2.0,2.0,280.0,3.5,1817.8,2727.67,124.0,a38848ed-0ae6-11eb-a994-02f48d91600b
8,8,0.1,2.0,1.0,428.0,2.7,3298.89,4949.11,102.0,a38848f1-0ae6-11eb-bdeb-02f48d91600b
15,15,-0.0,1.0,2.0,320.0,2.3,2224.25,3336.45,200.0,a389cf70-0ae6-11eb-a941-02f48d91600b
17,17,0.9,2.0,200.0,696.0,3.5,5971.03,8957.5,222.0,a389cf72-0ae6-11eb-8486-02f48d91600b
19,19,0.6,1.0,200.0,623.0,3.5,5243.4,7865.25,101.0,a389cf74-0ae6-11eb-a2e8-02f48d91600b
27,27,0.5,2.0,1.0,302.0,2.7,2034.63,3053.75,121.0,a389cf7c-0ae6-11eb-b256-02f48d91600b
30,30,-0.8,1.0,2.0,313.0,2.7,2139.83,3210.51,204.0,a389cf7f-0ae6-11eb-ad0a-02f48d91600b
32,32,0.7,2.0,1.0,501.0,3.5,4022.68,6034.58,277.0,a389cf81-0ae6-11eb-8d4e-02f48d91600b
33,33,-0.5,2.0,50.0,261.0,3.5,1630.53,2446.24,200.0,a389cf82-0ae6-11eb-a01c-02f48d91600b
34,34,-0.5,2.0,2.0,253.0,2.3,1555.84,2335.73,109.0,a389cf83-0ae6-11eb-8c31-02f48d91600b
36,36,0.7,2.0,50.0,436.0,2.7,3376.83,5066.24,104.0,a389cf85-0ae6-11eb-948f-02f48d91600b
37,37,-0.1,1.0,2.0,431.0,3.5,3326.36,4990.44,207.0,a389cf86-0ae6-11eb-b747-02f48d91600b
39,39,-0.1,2.0,1.0,327.0,3.5,2289.11,3434.32,220.0,a38b544d-0ae6-11eb-9ad7-02f48d91600b
40,40,0.8,2.0,200.0,244.0,2.7,1452.68,2179.83,232.0,a38b544e-0ae6-11eb-a02c-02f48d91600b
41,41,-0.5,2.0,50.0,499.0,2.3,4018.33,6028.02,202.0,a38b544f-0ae6-11eb-9503-02f48d91600b
42,42,-0.8,1.0,50.0,547.0,2.3,4491.03,6738.27,281.0,a38b5450-0ae6-11eb-9d59-02f48d91600b
43,43,-0.8,1.0,1.0,560.0,2.3,4618.5,6929.58,104.0,a38b5451-0ae6-11eb-9a2d-02f48d91600b
44,44,-0.7,2.0,200.0,460.0,2.3,3622.46,5434.17,102.0,a38b5452-0ae6-11eb-9c21-02f48d91600b
45,45,0.9,2.0,1.0,272.0,2.3,1738.75,2609.64,282.0,a38b5453-0ae6-11eb-9715-02f48d91600b
46,46,-0.2,1.0,200.0,513.0,2.3,4155.85,6235.77,205.0,a38b5454-0ae6-11eb-844f-02f48d91600b
47,47,0.5,2.0,1.0,250.0,2.3,1524.97,2288.43,136.0,a38b5455-0ae6-11eb-a43a-02f48d91600b
