,p1,p2,p3,p4,p5,costs,prices,creating_speed_in_secs
0,-0.3,1.0,1.0,306.0,3.5,2075.45,3114.17,122.0
1,-0.7,1.0,1.0,956.0,2.3,8578.84,12870.26,211.0
2,-1.0,2.0,50.0,808.0,3.5,7093.42,10640.7,203.0
3,-0.6,1.0,2.0,442.0,3.5,3433.75,5152.4,100.0
4,-0.1,2.0,2.0,549.0,2.3,4517.54,6777.26,201.0
5,-0.4,2.0,1.0,732.0,3.5,6337.55,9507.2,214.0
6,-0.2,1.0,2.0,928.0,2.7,8296.26,12444.43,208.0
7,-0.9,2.0,50.0,512.0,2.7,4134.84,6204.25,206.0
8,-0.9,1.0,200.0,994.0,3.5,8949.47,13424.55,113.0
9,0.2,2.0,1.0,538.0,2.7,4398.76,6598.48,106.0
10,0.1,2.0,50.0,185.0,2.7,871.86,1309.69,347.0
11,-1.0,2.0,200.0,364.0,2.3,2657.69,3988.46,201.0
12,-0.1,2.0,2.0,473.0,3.5,3750.01,5627.01,117.0
13,0.1,1.0,200.0,348.0,3.5,2497.0,3745.79,106.0
14,-0.5,2.0,50.0,952.0,3.5,8540.87,12812.27,221.0
15,-0.7,1.0,200.0,320.0,3.5,2213.16,3319.82,308.0
16,-0.5,1.0,1.0,937.0,2.7,8383.05,12575.45,134.0
17,0.2,2.0,2.0,362.0,3.5,2638.34,3959.29,107.0
18,-0.1,2.0,2.0,218.0,3.5,1199.31,1799.11,110.0
19,-0.3,2.0,1.0,523.0,2.3,4256.26,6385.73,207.0
20,-0.6,2.0,200.0,979.0,2.3,8814.46,13222.4,211.0
21,0.4,2.0,1.0,933.0,3.5,8346.98,12520.72,202.0
22,0.5,2.0,2.0,426.0,3.5,3277.48,4917.51,210.0
23,-1.0,1.0,200.0,223.0,3.5,1237.48,1856.8,203.0
24,-0.1,1.0,1.0,958.0,2.7,8595.89,12894.83,105.0
25,-0.4,2.0,2.0,403.0,2.7,3047.58,4573.32,102.0
26,0.1,1.0,1.0,614.0,2.3,5163.76,7746.41,116.0
27,-0.7,2.0,200.0,689.0,2.7,5903.76,8856.63,109.0
28,0.8,1.0,2.0,817.0,2.7,7179.96,10770.12,166.0
29,-0.2,2.0,50.0,311.0,2.7,2133.2,3201.41,101.0
30,-0.0,1.0,2.0,279.0,2.7,1805.35,2710.02,118.0
31,-0.2,1.0,200.0,844.0,2.3,7464.3,11198.45,101.0
32,-1.0,1.0,2.0,776.0,2.3,6776.15,10164.82,103.0
33,0.2,2.0,200.0,581.0,3.5,4829.16,7244.11,206.0
34,0.7,2.0,50.0,316.0,2.3,2185.85,3279.5,108.0
35,0.8,2.0,2.0,385.0,2.3,2871.62,4307.61,202.0
36,-0.8,1.0,200.0,815.0,2.3,7168.73,10753.25,104.0
37,-0.3,1.0,1.0,783.0,3.5,6845.17,10269.49,204.0
38,-0.1,2.0,200.0,119.0,2.3,218.37,329.16,541.0
39,-0.6,1.0,1.0,207.0,2.3,1090.71,1637.06,207.0
40,-0.7,1.0,1.0,780.0,3.5,6810.47,10216.45,206.0
41,0.8,1.0,50.0,538.0,2.3,4402.25,6603.74,212.0
42,-1.0,1.0,200.0,283.0,2.7,1837.27,2756.8,206.0
43,-0.6,1.0,50.0,424.0,2.7,3256.1,4884.64,262.0
44,-0.8,2.0,1.0,970.0,3.5,8713.0,13070.29,148.0
45,-0.9,1.0,50.0,962.0,2.3,8640.62,12961.89,129.0
46,-0.3,1.0,50.0,976.0,3.5,8778.88,13168.84,132.0
47,0.3,1.0,200.0,242.0,3.5,1435.93,2154.28,102.0
48,-0.0,1.0,2.0,158.0,3.5,597.31,897.24,204.0
49,-0.6,1.0,50.0,402.0,2.3,3045.05,4569.53,111.0
